started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-08-01 10:53:08.207000+00:00,2021-08-01 11:00:07.512000+00:00,419,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,1039,Lothian Road,Outside the Usher Hall,55.94740919920712,-3.2057654971365537
2021-08-01 10:55:16.453000+00:00,2021-08-01 11:06:30.929000+00:00,674,1039,Lothian Road,Outside the Usher Hall,55.94740919920712,-3.2057654971365537,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805
2021-08-01 11:04:07.583000+00:00,2021-08-01 11:49:38.002000+00:00,2730,2263,Musselburgh Lidl,Musselborough North High Street opposite Harbour Road,55.94388031687606,-3.0667539162178628,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459
2021-08-01 11:05:07.792000+00:00,2021-08-01 11:49:52.229000+00:00,2684,2263,Musselburgh Lidl,Musselborough North High Street opposite Harbour Road,55.94388031687606,-3.0667539162178628,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459
2021-08-01 11:05:38.717000+00:00,2021-08-01 11:09:49.910000+00:00,251,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459
2021-08-01 11:06:23.480000+00:00,2021-08-01 11:17:57.327000+00:00,693,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,1814,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.1722162800950704
2021-08-01 11:08:35.705000+00:00,2021-08-01 11:16:49.802000+00:00,494,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277438
2021-08-01 11:09:06.828000+00:00,2021-08-01 11:16:38.489000+00:00,451,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277438
2021-08-01 11:10:57.626000+00:00,2021-08-01 11:44:59.828000+00:00,2042,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459,1770,Ellersly Road,Corner with A8 Corstorphine Road at Western Terrace,55.945045875212095,-3.250881447188249
2021-08-01 11:12:41.928000+00:00,2021-08-01 11:55:30.439000+00:00,2568,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453
2021-08-01 11:26:43.742000+00:00,2021-08-01 12:40:34.709000+00:00,4430,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277438,1821,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.2123542850940225
2021-08-01 11:26:45.822000+00:00,2021-08-01 12:38:49.014000+00:00,4323,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277438,1821,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.2123542850940225
