,year,local_authority_id,pedal_cycles,longitude,latitude,geometry
32233,2019,36,41,-3.19289724,55.87506664,POINT (-355431.69491204864 7533585.051707454)
32236,2022,36,39,-3.19289724,55.87506664,POINT (-355431.69491204864 7533585.051707454)
32237,2023,36,37,-3.19289724,55.87506664,POINT (-355431.69491204864 7533585.051707454)
32238,2024,36,35,-3.19289724,55.87506664,POINT (-355431.69491204864 7533585.051707454)
33531,2018,29,0,-3.13680376,55.89168131,POINT (-349187.3972816259 7536882.618192819)
33532,2019,29,0,-3.13680376,55.89168131,POINT (-349187.3972816259 7536882.618192819)
33535,2022,29,0,-3.12036672,55.89721414,POINT (-347357.6343586772 7537981.049957808)
33536,2023,29,0,-3.12036672,55.89721414,POINT (-347357.6343586772 7537981.049957808)
33537,2024,29,0,-3.12036672,55.89721414,POINT (-347357.6343586772 7537981.049957808)
33556,2018,29,0,-3.19280862,55.89303832,POINT (-355421.8297787745 7537152.010652177)
33557,2019,29,0,-3.19280862,55.89303832,POINT (-355421.8297787745 7537152.010652177)
33560,2022,29,0,-3.19280862,55.89303832,POINT (-355421.8297787745 7537152.010652177)
33561,2023,29,0,-3.19280862,55.89303832,POINT (-355421.8297787745 7537152.010652177)
33562,2024,29,0,-3.19280862,55.89303832,POINT (-355421.8297787745 7537152.010652177)
33758,2018,29,3,-3.11036984,55.9497073,POINT (-346244.7867675558 7548410.309542129)
33759,2019,29,3,-3.11036984,55.9497073,POINT (-346244.7867675558 7548410.309542129)
33762,2022,29,3,-3.11036984,55.9497073,POINT (-346244.7867675558 7548410.309542129)
33763,2023,29,3,-3.11036984,55.9497073,POINT (-346244.7867675558 7548410.309542129)
33764,2024,29,3,-3.11036984,55.9497073,POINT (-346244.7867675558 7548410.309542129)
35175,2018,29,428,-3.07932201,55.94633539,POINT (-342788.55814171967 7547739.95896253)
35176,2019,29,459,-3.07932201,55.94633539,POINT (-342788.55814171967 7547739.95896253)
35179,2022,29,383,-3.07932201,55.94633539,POINT (-342788.55814171967 7547739.95896253)
35180,2023,29,377,-3.07932201,55.94633539,POINT (-342788.55814171967 7547739.95896253)
35181,2024,29,381,-3.07932201,55.94633539,POINT (-342788.55814171967 7547739.95896253)
35200,2018,34,165,-3.07577747,55.93976233,POINT (-342393.98175382323 7546433.373421147)
35201,2019,34,177,-3.07577747,55.93976233,POINT (-342393.98175382323 7546433.373421147)
35204,2022,34,148,-3.07577747,55.93976233,POINT (-342393.98175382323 7546433.373421147)
35205,2023,34,145,-3.07577747,55.93976233,POINT (-342393.98175382323 7546433.373421147)
35206,2024,34,147,-3.07577747,55.93976233,POINT (-342393.98175382323 7546433.373421147)
35225,2018,34,0,-3.07645633,55.92960307,POINT (-342469.5521033432 7544414.363148552)
35226,2019,34,0,-3.07645633,55.92960307,POINT (-342469.5521033432 7544414.363148552)
35229,2022,34,0,-3.07645633,55.92960307,POINT (-342469.5521033432 7544414.363148552)
35230,2023,34,0,-3.07645633,55.92960307,POINT (-342469.5521033432 7544414.363148552)
35231,2024,34,0,-3.07645633,55.92960307,POINT (-342469.5521033432 7544414.363148552)
35250,2018,36,0,-3.07331737,55.9086945,POINT (-342120.1246745227 7540260.743648146)
35251,2019,36,0,-3.07331737,55.9086945,POINT (-342120.1246745227 7540260.743648146)
35254,2022,36,0,-3.09012838,55.90069347,POINT (-343991.51774744334 7538671.880960772)
35255,2023,36,0,-3.09012838,55.90069347,POINT (-343991.51774744334 7538671.880960772)
35256,2024,36,0,-3.09012838,55.90069347,POINT (-343991.51774744334 7538671.880960772)
35275,2018,36,49,-3.04950449,55.9035984,POINT (-339469.2869986014 7539248.71065271)
35276,2019,36,59,-3.04950449,55.9035984,POINT (-339469.2869986014 7539248.71065271)
35472,2018,29,26,-3.11364208,55.93151847,POINT (-346609.05085810914 7544794.981505584)
35473,2019,29,26,-3.11364208,55.93151847,POINT (-346609.05085810914 7544794.981505584)
35476,2022,29,24,-3.11364208,55.93151847,POINT (-346609.05085810914 7544794.981505584)
35477,2023,29,23,-3.11364208,55.93151847,POINT (-346609.05085810914 7544794.981505584)
35478,2024,29,22,-3.11364208,55.93151847,POINT (-346609.05085810914 7544794.981505584)
37621,2018,29,341,-3.20658162,55.9503215,POINT (-356955.0331254703 7548532.4214961855)
37622,2019,29,365,-3.20658162,55.9503215,POINT (-356955.0331254703 7548532.4214961855)
37625,2022,29,305,-3.20658162,55.9503215,POINT (-356955.0331254703 7548532.4214961855)
37626,2023,29,300,-3.20658162,55.9503215,POINT (-356955.0331254703 7548532.4214961855)
37627,2024,29,304,-3.20658162,55.9503215,POINT (-356955.0331254703 7548532.4214961855)
38571,2018,36,10,-3.10845503,55.87316016,POINT (-346031.6310933899 7533206.756801536)
38572,2019,36,11,-3.10845503,55.87316016,POINT (-346031.6310933899 7533206.756801536)
38575,2022,36,9,-3.10845503,55.87316016,POINT (-346031.6310933899 7533206.756801536)
38576,2023,36,9,-3.10845503,55.87316016,POINT (-346031.6310933899 7533206.756801536)
38577,2024,36,9,-3.10845503,55.87316016,POINT (-346031.6310933899 7533206.756801536)
38596,2018,36,77,-3.11258804,55.88354594,POINT (-346491.7156620334 7535267.789033447)
38597,2019,36,93,-3.11258804,55.88354594,POINT (-346491.7156620334 7535267.789033447)
38600,2022,36,87,-3.11258804,55.88354594,POINT (-346491.7156620334 7535267.789033447)
38601,2023,36,82,-3.11258804,55.88354594,POINT (-346491.7156620334 7535267.789033447)
38602,2024,36,79,-3.11258804,55.88354594,POINT (-346491.7156620334 7535267.789033447)
38739,2018,36,19,-3.09274906,55.88866564,POINT (-344283.2505105755 7536283.983704093)
38740,2019,36,21,-3.09274906,55.88866564,POINT (-344283.2505105755 7536283.983704093)
38743,2022,36,17,-3.09274906,55.88866564,POINT (-344283.2505105755 7536283.983704093)
38744,2023,36,17,-3.09274906,55.88866564,POINT (-344283.2505105755 7536283.983704093)
38745,2024,36,17,-3.09274906,55.88866564,POINT (-344283.2505105755 7536283.983704093)
39022,2018,29,72,-3.20423516,55.90056455,POINT (-356693.8263931035 7538646.282417678)
39023,2019,29,77,-3.20423516,55.90056455,POINT (-356693.8263931035 7538646.282417678)
39026,2022,29,65,-3.20423516,55.90056455,POINT (-356693.8263931035 7538646.282417678)
39027,2023,29,63,-3.20423516,55.90056455,POINT (-356693.8263931035 7538646.282417678)
39028,2024,29,64,-3.20423516,55.90056455,POINT (-356693.8263931035 7538646.282417678)
39047,2018,29,125,-3.16112998,55.89244278,POINT (-351895.3797049511 7537033.783402993)
39048,2019,29,134,-3.16112998,55.89244278,POINT (-351895.3797049511 7537033.783402993)
39051,2022,29,112,-3.16112998,55.89244278,POINT (-351895.3797049511 7537033.783402993)
39052,2023,29,110,-3.16112998,55.89244278,POINT (-351895.3797049511 7537033.783402993)
39053,2024,29,111,-3.16112998,55.89244278,POINT (-351895.3797049511 7537033.783402993)
39072,2018,29,172,-3.1291817,55.90451069,POINT (-348338.91344363015 7539429.87228288)
39073,2019,29,169,-3.1291817,55.90451069,POINT (-348338.91344363015 7539429.87228288)
39076,2022,29,158,-3.1291817,55.90451069,POINT (-348338.91344363015 7539429.87228288)
39077,2023,29,150,-3.1291817,55.90451069,POINT (-348338.91344363015 7539429.87228288)
39078,2024,29,144,-3.1291817,55.90451069,POINT (-348338.91344363015 7539429.87228288)
39097,2018,29,154,-3.30292995,55.92004652,POINT (-367680.48015985254 7542515.616140216)
